title,code,type,last update of data,last table structure change,data start,data end,start_year,start_period,end_year,end_period,domain
"Percentage of employed adults working at home by sex, age groups, number of children and age of youngest child",LFST_HHWAHCHI,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Percentage of employed people working at home by sex, age groups and household composition",LFST_HHWAHTY,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Number of adults by working status within households, number of children and age of youngest child (1 000)",LFST_HHWHACC,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
Average number of children per household by working status within households and household composition,LFST_HHWHCHIT,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
Number of persons by working status within households and household composition (1 000),LFST_HHWHNPT,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
Employment rate of EU/EFTA citizens who usually reside in another EU/EFTA country by citizenship and age,LFST_LMBERCITA,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Employment rate of EU/EFTA citizens who usually reside in another EU/EFTA country by citizenship, age and educational attainment level",LFST_LMBERCITED,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Employment rate of EU/EFTA citizens who usually reside in another EU/EFTA country by citizenship, age and sex",LFST_LMBERCITG,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
Employment rate of EU/EFTA born population who usually resides in another EU/EFTA country by country of birth and age,LFST_LMBERCOBA,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Employment rate of EU/EFTA born population who usually resides in another EU/EFTA country by country of birth, age and educational attainment level",LFST_LMBERCOBED,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Employment rate of EU/EFTA born population who usually resides in another EU/EFTA country by country of birth, age and sex",LFST_LMBERCOBG,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
EU/EFTA citizens of working age who usually reside in another EU/EFTA country by citizenship and age,LFST_LMBPCITA,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"EU/EFTA citizens of working age who usually reside in another EU/EFTA country by citizenship, age and educational attainment level",LFST_LMBPCITED,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"EU/EFTA citizens of working age who usually reside in another EU/EFTA country by citizenship, age and sex",LFST_LMBPCITG,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
EU/EFTA born population of working age who usually resides in another EU/EFTA country by country of birth and age,LFST_LMBPCOBA,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"EU/EFTA born population of working age who usually resides in another EU/EFTA country by country of birth, age and educational attainment level",LFST_LMBPCOBED,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"EU/EFTA born population of working age who usually resides in another EU/EFTA country by country of birth, age and sex",LFST_LMBPCOBG,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Active recent immigrants by sex, age and country of birth",LFST_RIMGACGA,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,2008,2024,2008.0,,2024.0,,LFST
"Active recent immigrants by sex, age and citizenship",LFST_RIMGANGA,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,2008,2024,2008.0,,2024.0,,LFST
"Employed recent immigrants by sex, age and country of birth",LFST_RIMGECGA,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,2008,2024,2008.0,,2024.0,,LFST
"Employed recent immigrants by sex, age and citizenship",LFST_RIMGENGA,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,2008,2024,2008.0,,2024.0,,LFST
"Recent immigrants by sex, age and country of birth",LFST_RIMGPCGA,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,2008,2024,2008.0,,2024.0,,LFST
"Recent immigrants by sex, age and citizenship",LFST_RIMGPNGA,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,2008,2024,2008.0,,2024.0,,LFST
"Activity rates by sex, age, educational attainment level, country of birth and degree of urbanisation",LFST_R_AREDCOBU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Activity rates by sex, age, educational attainment level, citizenship and degree of urbanisation",LFST_R_AREDNU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Part-time employment by sex, age, educational attainment level, country of birth and degree of urbanisation",LFST_R_E2PGAEDCU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Part-time employment by sex, age, educational attainment level, citizenship and degree of urbanisation",LFST_R_E2PGAEDNU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Self-employment by sex, age, country of birth and degree of urbanisation",LFST_R_E2SGACU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Self-employment by sex, age, citizenship and degree of urbanisation",LFST_R_E2SGANU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Temporary employees by sex, age, educational attainment level, country of birth and degree of urbanisation",LFST_R_E2TGAEDCU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Temporary employees by sex, age, educational attainment level, citizenship and degree of urbanisation",LFST_R_E2TGAEDNU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
Regional disparities in the rate of early leavers from education and training (NUTS level 2),LFST_R_EDATD_16,dataset,2024-10-31 22:00:00+00:00,2024-10-31 22:00:00+00:00,2003,2023,2003.0,,2023.0,,LFST
Regional disparities in the rate of young people neither in employment nor in education and training (NEET) (NUTS level 2),LFST_R_EDATD_22,dataset,2024-10-31 22:00:00+00:00,2024-10-31 22:00:00+00:00,2003,2023,2003.0,,2023.0,,LFST
"Employment by sex, age, job tenure and NUTS 2 region",LFST_R_EGAD,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Employment by sex, age, job tenure and degree of urbanisation",LFST_R_EGADU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Employment rates by sex, age, educational attainment level, country of birth and degree of urbanisation",LFST_R_EREDCOBU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Employment rates by sex, age, educational attainment level, citizenship and degree of urbanisation",LFST_R_EREDNU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Employment rates by sex, age and degree of urbanisation (%)",LFST_R_ERGAU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1992,2024,1992.0,,2024.0,,LFST
"Employment and commuting by sex, age and NUTS 2 region",LFST_R_LFE2ECOMM,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Employment by sex, age, educational attainment level and NUTS 2 region (1 000)",LFST_R_LFE2EEDU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Employment by sex, age, full-time/part-time, professional status and NUTS 2 region (1 000)",LFST_R_LFE2EFTPT,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Average number of usual weekly hours of work in main job by sex, age and NUTS 2 region (hours)",LFST_R_LFE2EHOUR,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Average number of actual weekly hours of work in main job by sex, age and NUTS 2 region",LFST_R_LFE2EHRWA,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Employment by sex, age and NUTS 2 region (1 000)",LFST_R_LFE2EMP,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Employment rates by sex, age, educational attainment level, country of birth and NUTS 2 region",LFST_R_LFE2EMPRC,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Employment rates by sex, age and NUTS 2 region (%)",LFST_R_LFE2EMPRT,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Employment by sex, age, economic activity and NUTS 2 region (1999-2008, NACE Rev. 1.1) (1 000)",LFST_R_LFE2EN1,dataset,2023-02-15 22:00:00+00:00,2024-01-10 10:00:00+00:00,1999,2008,1999.0,,2008.0,,LFST
"Employment by sex, age, economic activity and NUTS 2 region (NACE Rev. 2) (1 000)",LFST_R_LFE2EN2,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,2008,2024,2008.0,,2024.0,,LFST
"Employment by sex, age, professional status and NUTS 2 region (1 000)",LFST_R_LFE2ESTAT,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Economically active population by sex, age, educational attainment level and NUTS 2 region (1 000)",LFST_R_LFP2ACEDU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Economically active population by sex, age and NUTS 2 region (1 000)",LFST_R_LFP2ACT,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Activity rates by sex, age, educational attainment level, country of birth and NUTS 2 region",LFST_R_LFP2ACTRC,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Economic activity rates by sex, age and NUTS 2 region (%)",LFST_R_LFP2ACTRT,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Activity rates by sex, age, educational attainment level, citizenship and NUTS 2 region",LFST_R_LFP2ACTRTN,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
Number of households by degree of urbanisation and NUTS 2 region (1 000),LFST_R_LFSD2HH,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,2006,2024,2006.0,,2024.0,,LFST
"Population by sex, age, educational attainment level and NUTS 2 region (1 000)",LFST_R_LFSD2POP,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Population by sex, age, country of birth, labour status and NUTS 2 region",LFST_R_LFSD2PWC,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Population by sex, age, citizenship, labour status and NUTS 2 region",LFST_R_LFSD2PWN,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Unemployment by sex, age, country of birth and NUTS 2 region",LFST_R_LFU2GAC,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Unemployment by sex, age, country of birth and degree of urbanisation",LFST_R_LFU2GACU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Unemployment by sex, age, citizenship and NUTS 2 region",LFST_R_LFU2GAN,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Unemployment by sex, age, citizenship and degree of urbanisation",LFST_R_LFU2GANU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Long-term unemployment (12 months and more) by sex, age, educational attainment level and NUTS 2 region (%)",LFST_R_LFU2LTU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Unemployment by sex, age, educational attainment level and NUTS 2 region (1 000)",LFST_R_LFU3PERS,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Unemployment rates by sex, age, educational attainment level and NUTS 2 region (%)",LFST_R_LFU3RT,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Unemployment rates by sex, age, country of birth and NUTS 2 region",LFST_R_LFUR2GAC,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Unemployment rates by sex, age, country of birth and degree of urbanisation",LFST_R_LFUR2GACU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Unemployment rates by sex, age, citizenship and NUTS 2 region",LFST_R_LFUR2GAN,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1999,2024,1999.0,,2024.0,,LFST
"Unemployment rates by sex, age, citizenship and degree of urbanisation",LFST_R_LFUR2GANU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Regional disparities in employment rates (NUTS level 2, NUTS level 3)",LFST_R_LMDER,dataset,2024-07-02 21:00:00+00:00,2024-07-02 21:00:00+00:00,1999,2023,1999.0,,2023.0,,LFST
Regional disparities in gender employment gap (NUTS level 2),LFST_R_LMDGEG,dataset,2024-10-31 22:00:00+00:00,2024-10-31 22:00:00+00:00,1999,2023,1999.0,,2023.0,,LFST
Regional disparities in long-term unemployment rates (NUTS level 2),LFST_R_LMDLTU,dataset,2024-10-31 22:00:00+00:00,2024-10-31 22:00:00+00:00,1999,2023,1999.0,,2023.0,,LFST
"Regional disparities in unemployment rates (NUTS level 2, NUTS level 3)",LFST_R_LMDUR,dataset,2024-07-02 21:00:00+00:00,2024-07-02 21:00:00+00:00,1999,2023,1999.0,,2023.0,,LFST
"Population by sex, age, migration status and degree of urbanisation",LFST_R_PGAUM,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,2021,2024,2021.0,,2024.0,,LFST
"Population by sex, age, country of birth, labour status and degree of urbanisation",LFST_R_PGAUWSC,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Population by sex, age, citizenship, labour status and degree of urbanisation",LFST_R_PGAUWSN,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1995,2024,1995.0,,2024.0,,LFST
"Labour market slack by sex, age and NUTS 2 region",LFST_R_SLA_GA,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,2008,2024,2008.0,,2024.0,,LFST
"Unemployment rates by sex, age and degree of urbanisation (%)",LFST_R_URGAU,dataset,2025-04-14 21:00:00+00:00,2025-04-14 21:00:00+00:00,1992,2024,1992.0,,2024.0,,LFST
Gross weight of goods handled in all ports by direction - annual data,MAR_GO_AA,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,1997,2024,1997.0,,2024.0,,MAR
Gross weight of goods transported to/from main ports - Belgium,MAR_GO_AM_BE,dataset,2024-07-09 21:00:00+00:00,2024-07-09 21:00:00+00:00,1997,2023,1997.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Bulgaria,MAR_GO_AM_BG,dataset,2024-07-09 21:00:00+00:00,2024-07-09 21:00:00+00:00,2001,2023,2001.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Cyprus,MAR_GO_AM_CY,dataset,2024-08-26 21:00:00+00:00,2024-08-26 21:00:00+00:00,2002,2023,2002.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Germany,MAR_GO_AM_DE,dataset,2024-07-09 21:00:00+00:00,2024-07-09 21:00:00+00:00,1997,2023,1997.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Denmark,MAR_GO_AM_DK,dataset,2024-09-23 21:00:00+00:00,2024-09-23 21:00:00+00:00,1997,2023,1997.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Estonia,MAR_GO_AM_EE,dataset,2024-07-26 21:00:00+00:00,2024-07-26 21:00:00+00:00,2002,2023,2002.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Greece,MAR_GO_AM_EL,dataset,2024-10-21 21:00:00+00:00,2024-10-21 21:00:00+00:00,2000,2023,2000.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Spain,MAR_GO_AM_ES,dataset,2024-07-09 21:00:00+00:00,2024-07-09 21:00:00+00:00,2000,2023,2000.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Finland,MAR_GO_AM_FI,dataset,2024-07-09 21:00:00+00:00,2024-07-09 21:00:00+00:00,1997,2023,1997.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - France,MAR_GO_AM_FR,dataset,2024-09-23 21:00:00+00:00,2024-09-23 21:00:00+00:00,1998,2023,1998.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Croatia,MAR_GO_AM_HR,dataset,2025-02-21 10:00:00+00:00,2025-02-21 10:00:00+00:00,2005,2024,2005.0,,2024.0,,MAR
Gross weight of goods transported to/from main ports - Ireland,MAR_GO_AM_IE,dataset,2024-07-30 21:00:00+00:00,2024-07-30 21:00:00+00:00,1998,2023,1998.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Italy,MAR_GO_AM_IT,dataset,2025-03-11 10:00:00+00:00,2025-03-11 10:00:00+00:00,1997,2023,1997.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Lithuania,MAR_GO_AM_LT,dataset,2024-08-22 21:00:00+00:00,2024-08-22 21:00:00+00:00,2004,2023,2004.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Latvia,MAR_GO_AM_LV,dataset,2024-07-09 21:00:00+00:00,2024-07-09 21:00:00+00:00,2004,2023,2004.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Montenegro,MAR_GO_AM_ME,dataset,2024-04-22 21:00:00+00:00,2024-04-22 21:00:00+00:00,2018,2022,2018.0,,2022.0,,MAR
Gross weight of goods transported to/from main ports - Malta,MAR_GO_AM_MT,dataset,2024-07-09 21:00:00+00:00,2024-07-09 21:00:00+00:00,2003,2023,2003.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Netherlands,MAR_GO_AM_NL,dataset,2025-01-14 22:00:00+00:00,2025-01-14 22:00:00+00:00,1997,2023,1997.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Norway,MAR_GO_AM_NO,dataset,2024-07-17 21:00:00+00:00,2024-07-17 21:00:00+00:00,2002,2023,2002.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Portugal,MAR_GO_AM_PT,dataset,2024-10-04 21:00:00+00:00,2024-10-04 21:00:00+00:00,1997,2023,1997.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Romania,MAR_GO_AM_RO,dataset,2024-07-09 21:00:00+00:00,2024-07-09 21:00:00+00:00,2004,2023,2004.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Sweden,MAR_GO_AM_SE,dataset,2025-04-15 09:00:00+00:00,2025-04-15 09:00:00+00:00,1997,2023,1997.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Slovenia,MAR_GO_AM_SI,dataset,2024-10-21 21:00:00+00:00,2024-10-21 21:00:00+00:00,2001,2023,2001.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - Türkiye,MAR_GO_AM_TR,dataset,2024-10-01 21:00:00+00:00,2024-10-01 21:00:00+00:00,2008,2023,2008.0,,2023.0,,MAR
Gross weight of goods transported to/from main ports - United Kingdom,MAR_GO_AM_UK,dataset,2010-04-22 09:00:00+00:00,2024-10-14 21:00:00+00:00,2000,2019,2000.0,,2019.0,,MAR
Gross weight of goods transported to/from main ports by direction and type of traffic (national and international) - quarterly data,MAR_GO_QM,dataset,2025-04-29 21:00:00+00:00,2025-03-13 10:00:00+00:00,1997-Q1,2024-Q4,1997.0,Q1,2024.0,Q4,MAR
Gross weight of goods handled in main ports by direction and type of cargo - quarterly data,MAR_GO_QMC,dataset,2025-04-29 21:00:00+00:00,2025-03-13 10:00:00+00:00,1997-Q1,2024-Q4,1997.0,Q1,2024.0,Q4,MAR
Gross weight of goods transported to/from main ports - Belgium - quarterly data,MAR_GO_QM_BE,dataset,2025-03-13 10:00:00+00:00,2025-03-13 10:00:00+00:00,1997-Q1,2024-Q3,1997.0,Q1,2024.0,Q3,MAR
Gross weight of goods transported to/from main ports - Bulgaria - quarterly data,MAR_GO_QM_BG,dataset,2025-02-19 10:00:00+00:00,2025-02-19 10:00:00+00:00,2001-Q1,2024-Q4,2001.0,Q1,2024.0,Q4,MAR
Volume of containers transported to/from main ports - quarterly data (1997 - 1999),MAR_GO_QM_C1999,dataset,2018-07-09 21:00:00+00:00,2023-11-22 10:00:00+00:00,1997-Q1,1999-Q4,1997.0,Q1,1999.0,Q4,MAR
Volume of containers transported to/from main ports - quarterly data (2000 - 2002),MAR_GO_QM_C2002,dataset,2018-07-09 21:00:00+00:00,2023-11-22 10:00:00+00:00,2000-Q1,2002-Q4,2000.0,Q1,2002.0,Q4,MAR
Volume of containers transported to/from main ports - quarterly data (2003 - 2004),MAR_GO_QM_C2004,dataset,2018-11-09 22:00:00+00:00,2023-11-22 10:00:00+00:00,2003-Q1,2004-Q4,2003.0,Q1,2004.0,Q4,MAR
Volume of containers transported to/from main ports - quarterly data (2007 - 2008),MAR_GO_QM_C2008,dataset,2019-06-26 21:00:00+00:00,2023-11-22 10:00:00+00:00,2007-Q1,2008-Q4,2007.0,Q1,2008.0,Q4,MAR
Volume of containers transported to/from main ports - quarterly data (2009 - 2010),MAR_GO_QM_C2010,dataset,2019-06-26 21:00:00+00:00,2023-11-22 10:00:00+00:00,2009-Q1,2010-Q4,2009.0,Q1,2010.0,Q4,MAR
Volume of containers transported to/from main ports - quarterly data (2011 - 2012),MAR_GO_QM_C2012,dataset,2019-06-26 21:00:00+00:00,2023-11-22 10:00:00+00:00,2011-Q1,2012-Q4,2011.0,Q1,2012.0,Q4,MAR
Volume of containers transported to/from main ports - quarterly data (2013 - 2014),MAR_GO_QM_C2014,dataset,2020-01-16 22:00:00+00:00,2023-11-22 10:00:00+00:00,2013-Q1,2014-Q4,2013.0,Q1,2014.0,Q4,MAR
Volume of containers transported to/from main ports - quarterly data (2015 - 2016),MAR_GO_QM_C2016,dataset,2025-01-14 22:00:00+00:00,2025-01-14 22:00:00+00:00,2015-Q1,2016-Q4,2015.0,Q1,2016.0,Q4,MAR
Volume of containers transported to/from main ports - quarterly data (2017 - 2018),MAR_GO_QM_C2018,dataset,2025-01-14 22:00:00+00:00,2025-01-14 22:00:00+00:00,2017-Q1,2018-Q4,2017.0,Q1,2018.0,Q4,MAR
Volume of containers transported to/from main ports - quarterly data (2019 - 2020),MAR_GO_QM_C2020,dataset,2025-01-14 22:00:00+00:00,2025-01-14 22:00:00+00:00,2019-Q1,2020-Q4,2019.0,Q1,2020.0,Q4,MAR
Volume of containers transported to/from main ports - quarterly data (2021 - 2022),MAR_GO_QM_C2022,dataset,2024-07-09 21:00:00+00:00,2024-07-09 21:00:00+00:00,2021-Q1,2022-Q4,2021.0,Q1,2022.0,Q4,MAR
Volume of containers transported to/from main ports - quarterly data (2023 - 2024),MAR_GO_QM_C2024,dataset,2025-04-29 21:00:00+00:00,2025-03-13 10:00:00+00:00,2023-Q1,2024-Q4,2023.0,Q1,2024.0,Q4,MAR
Gross weight of goods transported to/from main ports - Germany - quarterly data,MAR_GO_QM_DE,dataset,2025-03-13 10:00:00+00:00,2025-03-13 10:00:00+00:00,1997-Q1,2024-Q3,1997.0,Q1,2024.0,Q3,MAR
Gross weight of goods transported to/from main ports - Denmark - quarterly data,MAR_GO_QM_DK,dataset,2025-02-26 22:00:00+00:00,2025-02-26 22:00:00+00:00,1997-Q1,2024-Q4,1997.0,Q1,2024.0,Q4,MAR
